,Event 1,Event 2,Label
63,"['The', 'author', 'sign', 'the', 'people', 's', 'books']","['His', 'fans', 'fill', 'the', 'seats']",2
64,"['They', 'buy', 'himself', 'a', 'house']","['He', 'find', 'a', 'pot', 'of', 'gold']",2
65,"['He', 'finish', 'vacuuming', 'his', 'house']","['He', 'eventually', 'fix', 'the', 'broken', 'belt']",2
66,"['The', 'soup', 'splatter', 'everywhere']","['She', 'drop', 'the', 'ladle']",2
67,"['He', 'put', 'new', 'sheets', 'on', 'the', 'bed']","['He', 'strip', 'down', 'his', 'bed']",2
68,"['The', 'clouds', 'disappear', 'making', 'the', 'moon', 'visible']","['I', 'wait', 'for', 'a', 'long', 'time']",2
69,"['I', 'break', 'my', 'collar', 'bone', 'at', 'school']","['I', 'land', 'on', 'the', 'gym', 'floor']",2
70,"['She', 'hire', 'a', 'tutor', 'for', 'her']","['She', 'ask', 'her', 'grandmother', 'for', 'lessons']",2
71,"['They', 'lose', 'several', 'files']","['He', 'accidentally', 'pull', 'the', 'thumb', 'drive', 'out']",2
72,"['He', 'go', 'to', 'Las', 'Vegas']","['They', 'decide', 'to', 'take', 'a', 'trip']",2
73,"['She', 'cut', 'the', 'tires', 'on', 'his', 'car']","['She', 'get', 'mad', 'at', 'her', 'boyfriend']",2
74,"['She', 'welcome', 'Anna', 'into', 'the', 'school', 'choir']","['Her', 'smiling', 'teacher', 'pull', 'her', 'aside']",2
75,"['She', 'answer', 'the', 'door']","['He', 'knock', 'on', 'the', 'door', 'with', 'flowers']",2
76,"['I', 'play', 'the', 'computer', 'game', 'every', 'day']","['I', 'go', 'to', 'my', 'house']",2
77,"['They', 'drive', 'for', '4', 'hours']","['They', 'pack', 'all', 'three', 'kids', 'up']",2
78,"['She', 'turn', 'his', 'back', 'to', 'him']","['He', 'try', 'to', 'talk', 'to', 'her']",2
79,"['The', 'snake', 'catcher', 'become', 'a', 'state', 'trooper']","['He', 'pick', 'up', 'a', 'garter', 'snake']",2
80,"['This', 'cause', 'mass', 'flooding', 'and', 'evacuations']","['An', 'unexpected', 'storm', 'roll', 'through', 'the', 'village']",2
81,"['She', 'get', 'some', 'materials']","['She', 'decide', 'to', 'make', 'her', 'own']",2
82,"['She', 'swept', 'the', 'dirtier', 'the', 'floor', 'become']","['She', 'pull', 'out', 'her', 'broom']",2
83,"['He', 'draw', 'the', 'alcohol', 'away']","['He', 'start', 'to', 'think', 'about', 'his', 'daughter']",2
84,"['They', 'meet', 'for', 'coffee']","['He', 'start', 'talking', 'to', 'an', 'old', 'classmate']",2
85,"['They', 'inform', 'him', 'they', 'were', 'recurring', 'charges']","['He', 'call', 'up', 'the', 'bank']",2
86,"['He', 'visit', 'all', 'sorts', 'of', 'places']","['They', 'travel', 'to', 'Japan', 'in', 'early', '2013']",2
87,"['He', 'see', 'some', 'game']","['The', 'man', 'go', 'hunting']",2
88,"['They', 'put', 'in', 'an', 'offer']","['He', 'look', 'at', 'various', 'houses']",2
89,"['He', 'end', 'up', 'repeating', 'the', 'entire', 'year']","['She', 'manage', 'to', 'change', 'his', 'schedule']",2
90,"['She', 'manage', 'to', 'get', 'published']","['She', 'finish', 'her', 'fifth', 'novel']",2
91,"['They', 'recover', 'in', 'less', 'than', 'a', 'week']","['She', 'apply', 'fertilizer', 'to', 'her', 'tomato', 'plants']",2
92,"['He', 'get', 'a', 'vacation']","['He', 'end', 'up', 'winning']",2
93,"['He', 'display', 'them', 'in', 'his', 'room']","['He', 'win', 'medals', 'in', 'every', 'meet']",2
94,"['I', 'buy', 'a', 'Ladoo']","['I', 'go', 'to', 'an', 'Indian', 'store']",2
95,"['He', 'tell', 'his', 'trainer']","['His', 'friend', 'ignore', 'him']",2
96,"['We', 'open', 'all', 'our', 'presents']","['I', 'get', 'so', 'many', 'Christmas', 'gifts']",2
97,"['A', 'big', 'drought', 'hit', 'his', 'area']","['They', 'live', 'in', 'the', 'desert']",2
98,"['He', 'decide', 'to', 'pull', 'over']","['White', 'smoke', 'blow', 'up', 'in', 'his', 'face']",2
99,"['My', 'friends', 'and', 'I', 'pick', 'as', 'many']","['I', 'see', 'a', 'star', 'fruit', 'tree']",2
100,"['They', 'call', 'the', 'boy', 's', 'parents']","['The', 'boy', 'skin', 'his', 'knee', 'badly']",2
101,"['He', 'ask', 'for', 'money', 'on', 'the', 'sidewalk']","['He', 'put', 'on', 'dirty', 'clothes']",2
102,"['I', 'become', 'busy', 'with', 'other', 'things']","['My', 'teacher', 'assign', 'an', 'essay', 'online']",2
103,"['The', 'old', 'man', 'help', 'her']","['She', 'start', 'crying', 'explaining', 'her', 'problem']",2
104,"['He', 'notice', 'all', 'his', 'food', 'was', 'cold']","['He', 'get', 'his', 'food']",2
105,"['Ida', 's', 'husband', 'buy', 'new', 'shears']","['She', 'call', 'her', 'husband']",2
106,"['A', 'pair', 'of', 'hikers', 'soon', 'find', 'him']","['He', 'call', 'for', 'help']",2
107,"['Officials', 'cancel', 'the', 'game']","['A', 'thunderstorm', 'occur', 'the', 'court']",2
108,"['I', 'explore', 'the', 'falls']","['I', 'drove', 'to', 'Dunn', 's', 'river', 'fall']",2
109,"['He', 'break', 'his', 'arm', 'in', 'two', 'places']","['He', 'try', 'going', 'to', 'a', 'steep', 'incline']",2
110,"['She', 'go', 'to', 'a', 'therapist']","['They', 'feel', 'depressed', 'during', 'the', 'winter']",2
111,"['They', 'practice', 'all', 'week']","['They', 'begin', 'taking', 'piano', 'lessons']",2
112,"['She', 'start', 'making', 'omelets', 'every', 'morning']","['She', 'get', 'some', 'chickens']",2
113,"['He', 'develop', 'a', 'superweapon', 'for', 'the', 'US']","['Chip', 'work', 'at', 'Lockheed', 'Martin']",2
114,"['They', 'call', 'the', 'police']","['A', 'man', 'climb', 'out']",2
115,"['We', 'drive', 'to', 'Provincetown']","['We', 'decide', 'to', 'go', 'to', 'Provincetown']",2
116,"['She', 'make', 'one', 'thousand']","['She', 'decide', 'to', 'start', 'making', 'necklaces']",2
117,"['They', 'go', 'to', 'the', 'gym', 'every', 'day']","['He', 'care', 'about', 'his', 'gains']",2
118,"['He', 'hide', 'a', 'camera', 'in', 'his', 'bedroom']","['He', 'notice', 'his', 'jewelry', 'was', 'missing']",2
119,"['He', 'duck', 'his', 'head']","['They', 'open', 'the', 'lattice', 'door']",2
120,"['They', 'win', 'by', 'a', 'landslide']","['He', 'practice', 'for', 'hours', 'every', 'weekend']",2
121,"['They', 'get', 'a', 'bad', 'sunburn']","['They', 'forget', 'to', 'put', 'on', 'sunscreen']",2
122,"['I', 'remove', 'the', 'door', 'with', 'a', 'screwdriver']","['I', 'find', 'the', 'bin', 'was', 'locked']",2
123,"['He', 'accidentally', 'flip', 'the', 'bag', 'upside', 'down']","['He', 'take', 'a', 'bite', 'of', 'one', 'chip']",2
124,"['Her', 'dentist', 'give', 'her', 'a', 'solution']","['She', 'call', 'her', 'dentist', 'for', 'help']",2
125,"['They', 'push', 'Candy', 'into', 'the', 'house']","['Their', 'mother', 'call', 'them', 'inside', 'for', 'dinner']",2
126,"['He', 'first', 'feed', 'his', 'favorite', 'chicken', 'Betty']","['They', 'go', 'to', 'the', 'hen', 'house']",2
127,"['His', 'mother', 'get', 'home']","['They', 'play', 'video', 'games']",2
128,"['He', 'wait', 'a', 'bit']","['The', 'signal', 'go', 'out']",2
129,"['He', 'grab', 'his', 'wallet', 'and', 'keys']","['They', 'run', 'to', 'the', 'kitchen']",2
130,"['He', 'get', 'what', 'he', 'prayed', 'for']","['The', 'man', 'pray', 'for', 'something']",2
131,"['He', 'get', 'a', 'bump', 'there']","['The', 'man', 'head', 'his', 'head']",2
132,"['He', 'test', 'many', 'different', 'beds']","['He', 'go', 'to', 'the', 'furniture', 'store']",2
133,"['He', 'fall', 'onto', 'the', 'sand', 'under', 'him']","['He', 'lose', 'his', 'grip']",2
134,"['They', 'leave', 'the', 'house', 'right']","['The', 'house', 'begin', 'collapsing']",2
135,"['They', 'decide', 'to', 'reschedule']","['He', 'plan', 'a', 'vacation', 'for', 'his', 'family']",2
136,"['They', 'd', 'go', 'many', 'miles']","['They', 'always', 'wear', 'helmets']",2
137,"['He', 'walk', 'out', 'the', 'door']","['He', 'hear', 'a', 'loud', 'beeping']",2
138,"['He', 'draw', 'his', 'last', 'card']","['He', 'sit', 'waiting', 'to', 'play', 'his', 'cards']",2
139,"['She', 'decide', 'to', 'order', 'a', 'martini']","['She', 'always', 'drank', 'youthful', 'girly', 'drinks']",2
140,"['He', 'offer', 'her', 'candy']","['A', 'man', 'pull', 'up', 'to', 'her', 'house']",2
141,"['The', 'server', 'bring', 'the', 'food', 'out']","['She', 'request', 'that', 'be', 'cooked', 'well', 'done']",2
142,"['I', 'try', 'to', 'be', 'efficient']","['I', 'decide', 'to', 'mow', 'the', 'lawn']",2
143,"['He', 'join', 'his', 'high', 'school', 'soccer', 'team']","['They', 'give', 'up', 'soccer']",2
144,"['They', 'drive', 'in', 'the', 'winning', 'run']","['She', 'hit', 'the', 'ball', 'hard']",2
145,"['She', 'freeze', 'each', 'batch', 'for', 'later']","['Shannon', 'make', 'twenty', 'different', 'slow', 'cooker', 'meals']",2
146,"['He', 'chase', 'him', 'down']","['The', 'man', 'walk', 'away']",2
147,"['I', 'return', 'back', 'to', 'work']","['I', 'finally', 'get', 'better']",2
148,"['He', 'timidly', 'approach', 'one']","['He', 'visit', 'a', 'farm', 'in', 'his', 'town']",2
149,"['She', 'pass', 'out', 'because', 'of', 'dehydration']","['She', 'was', 'thirsty', 'she', 'finish', 'her', 'water']",2
150,"['His', 'friend', 'appreciate', 'his', 'honesty']","['He', 'confess', 'to', 'telling', 'the', 'lie']",2
151,"['I', 'put', 'on', 'my', 'costume']","['The', 'day', 'finally', 'come']",2
152,"['They', 'decide', 'to', 'head', 'back', 'home']","['They', 'catch', 'a', 'few', 'fish']",2
153,"['We', 'enter', 'the', 'emergency', 'room']","['I', 'drive', 'him', 'to', 'an', 'emergency', 'room']",2
154,"['The', 'car', 'go', 'over', 'a', 'cliff']","['His', 'car', 'lose', 'traction']",2
155,"['Nellie', 'let', 'go', 'of', 'her', 'self', 'consciousness']","['The', 'teacher', 'coach', 'her']",2
156,"['Dinner', 'come', 'out', 'terrific']","['Her', 'boyfriend', 'decide', 'to', 'help', 'her']",2
157,"['The', 'athletic', 'director', 'fire', 'Riley']","['The', 'local', 'team', 'start', 'losing', 'every', 'game']",2
158,"['The', 'war', 'veteran', 'feel', 'proud']","['He', 'commensurate', 'with', 'his', 'veteran', 'friends']",2
159,"['He', 'lay', 'in', 'bed', 'all', 'day', 'long']","['My', 'son', 'wake', 'up', 'feeling', 'ill']",2
160,"['The', 'road', 'her', 'look', 'alarmingly', 'blurry']","['A', 'lens', 'pop', 'out', 'of', 'her', 'eyeglasses']",2
161,"['He', 'wrap', 'them', 'up']","['He', 'stock', 'up', 'on', 'board', 'games']",2
162,"['He', 'decide', 'to', 'go', 'back', 'home']","['He', 'ponder', 'giving', 'the', 'lecture', 'without', 'notes']",2
163,"['They', 'crank', 'the', 'ignition']","['They', 'replace', 'a', 'ton', 'of', 'parts']",2
164,"['They', 'save', 'this', 'woman', 's', 'life']","['She', 'beat', 'her', 'attackers', 'off', 'her']",2
165,"['They', 'develop', 'a', 'horrible', 'tummy', 'ache']","['They', 'eat', 'the', 'entire', 'jar', 'of', 'olives']",2
166,"['She', 'hit', 'every', 'jump']","['She', 'step', 'on', 'the', 'ice']",2
167,"['I', 'ride', 'down', 'the', 'bank']","['He', 'take', 'of', 'the', 'training', 'wheels']",2
168,"['He', 'buy', 'a', 'really', 'fancy', 'new', 'oven']","['He', 'redo', 'his', 'kitchen']",2
169,"['She', 'get', 'the', 'dress', 'half', 'off']","['She', 'get', 'to', 'the', 'store']",2
170,"['The', 'wedding', 'ceremony', 'take', 'place']","['He', 'take', 'his', 'son', 'to', 'the', 'wedding']",2
171,"['We', 'decide', 'on', 'Chinese', 'food']","['We', 'try', 'to', 'order', 'takeout', 'food']",2
172,"['They', 'become', 'quite', 'good', 'at', 'dancing', 'together']","['They', 'sign', 'up', 'for', 'lessons']",2
173,"['He', 'try', 'to', 'backtrack']","['He', 'realize', 'he', 'was', 'alone']",2
174,"['I', 'make', 'them', 'in', 'the', 'toaster']","['I', 'make', 'meatballs', 'last', 'night']",2
175,"['They', 'spray', 'the', 'spiders', 'with', 'the', 'spray']","['He', 'return', 'to', 'the', 'attic']",2
176,"['The', 'public', 'never', 'fully', 'forgave', 'him']","['He', 'issue', 'a', 'formal', 'apology']",2
177,"['He', 'pretend', 'to', 'fly']","['The', 'boy', 'put', 'on', 'a', 'cape']",2
178,"['He', 'never', 'come', 'back', 'home']","['He', 'go', 'to', 'the', 'hospital']",2
179,"['We', 'become', 'fast', 'friends']","['I', 'meet', 'Sudeep', 'in', 'college']",2
180,"['He', 'approach', 'the', 'theater']","['They', 'make', 'plans', 'with', 'Diana']",2
181,"['He', 'admire', 'himself', 'in', 'the', 'mirror']","['He', 'try', 'on', 'his', 'new', 'coat']",2
182,"['He', 'go', 'to', 'a', 'local', 'reptile', 'shop']","['He', 'decide', 'he', 'wanted', 'a', 'bearded', 'dragon']",2
183,"['They', 'scream', 'out', 'wondering', 'what', 'went', 'wrong']","['The', 'water', 'go', 'frigid']",2
184,"['He', 'call', 'the', 'chef', 'over']","['He', 'eat', 'rotten', 'food', 'at', 'a', 'diner']",2
185,"['He', 'buy', 'the', 'single', 'level', 'house']","['He', 'narrow', 'his', 'choices', 'to', 'two', 'houses']",2
186,"['She', 'get', 'some', 'copies', 'of', 'Vogue', 'magazine']","['They', 'pick', 'up', 'five', 'books']",2
187,"['The', 'batter', 'swing', 'at', 'the', 'ball']","['They', 'throw', 'the', 'ball', 'underhand']",2
188,"['She', 'break', 'up', 'with', 'Matt']","['She', 'play', 'around', 'on', 'her', 'boyfriend', 'Matt']",2
189,"['He', 'take', 'all', 'of', 'the', 'tickets']","['He', 'ignore', 'my', 'presence']",2
190,"['He', 'pack', 'the', 'cheese', 'into', 'his', 'backpack']","['They', 'buy', 'a', 'block', 'of', 'cheese']",2
191,"['She', 'admonish', 'the', 'crowd', 'they', 'happily', 'did']","['She', 'strike', 'a', 'pose']",2
192,"['I', 'put', 'black', 'dye', 'in', 'them']","['I', 'tweeze', 'my', 'eyebrows']",2
193,"['He', 'knell', 'down', 'on', 'one', 'knee']","['She', 'buy', 'her', 'a', 'wedding', 'ring']",2
194,"['She', 'look', 'into', 'them']","['She', 'learn', 'about', 'modular', 'homes']",2
195,"['He', 'run', 'into', 'an', 'alley']","['They', 'start', 'to', 'panic', 'about', 'the', 'police']",2
196,"['She', 'scramble', 'out', 'of', 'the', 'water']","['She', 'see', 'a', 'shark', 'approaching']",2
197,"['He', 'admit', 'he', 'd', 'always', 'come', 'in']","['He', 'get', 'his', 'nerve', 'up']",2
198,"['They', 'empty', 'the', 'registers']","['He', 'secretly', 'steal', 'from', 'the', 'register']",2
199,"['The', 'men', 'relax', 'a', 'bit']","['The', 'commander', 'tell', 'them', 'to', 'break']",2
200,"['He', 'go', 'back', 'home', 'dejected', 'and', 'sad']","['He', 'spend', 'hours', 'looking']",2
201,"['They', 'win', 'the', 'contest', 'easily']","['The', 'band', 'take', 'the', 'stage']",2
202,"['He', 'minimize', 'his', 'level', 'of', 'anxiety']","['He', 'take', 'slow', 'deep', 'breaths']",2
203,"['He', 'get', 'the', 'coordinates', 'wrong']","['The', 'man', 'call', 'in', 'an', 'air', 'strike']",2
204,"['He', 'eat', 'all', 'of', 'them']","['He', 'help', 'me', 'bake', 'them']",2
205,"['He', 'go', 'to', 'the', 'hardware', 'store']","['They', 'decide', 'to', 'build', 'a', 'robot']",2
206,"['The', 'heat', 'feel', 'amazing']","['I', 'sit', 'outside', 'for', 'about', 'five', 'hours']",2
207,"['They', 'all', 'branch', 'out']","['She', 'organize', 'a', 'search', 'party']",2
208,"['The', 'wife', 'ask', 'him', 'to', 'stop']","['The', 'man', 'crack', 'his', 'knuckles', 'more']",2
209,"['They', 'even', 'walk', 'past', 'ignoring', 'me']","['Nobody', 'come', 'to', 'the', 'counter']",2
210,"['An', 'ambulance', 'drive', 'Ava', 'to', 'the', 'hospital']","['She', 'bump', 'her', 'head', 'on', 'a', 'tree']",2
211,"['The', 'cat', 'run', 'all', 'over', 'the', 'house']","['They', 'hide', 'the', 'catnip']",2
212,"['My', 'heart', 'start', 'racing']","['I', 'start', 'hearing', 'a', 'distinct', 'thumping', 'noise']",2
213,"['A', 'panic', 'fall', 'over', 'some', 'people']","['Traders', 'feel', 'eager', 'to', 'sell', 'their', 'shares']",2
214,"['They', 'give', 'Steve', 'the', 'photo']","['They', 'pay', 'Bob', 'off']",2
215,"['They', 'no', 'longer', 'fear', 'spiders']","['He', 'quickly', 'grab', 'a', 'broom']",2
216,"['We', 'make', 'her', 'breakfast', 'in', 'bed']","['We', 'all', 'give', 'her', 'our', 'gifts']",2
217,"['She', 'drive', 'her', 'new', 'car', 'home']","['She', 'sign', 'all', 'the', 'papers']",2
218,"['I', 'order', 'a', 'salad']","['I', 'take', 'a', 'break']",2
219,"['I', 'resort', 'to', 'guessing']","['I', 'will', 'feel', 'anxious']",2
220,"['They', 'dove', 'in', 'felt', 'refreshed']","['They', 'decide', 'to', 'head', 'to', 'the', 'pool']",2
221,"['She', 'go', 'to', 'the', 'eye', 'doctor']","['Her', 'vision', 'get', 'worse']",2
222,"['He', 'tried', 'he', 'never', 'get', 'better']","['He', 'practice', 'everyday', 'with', 'his', 'dad']",2
223,"['Her', 'cat', 'jump', 'out', 'of', 'the', 'bathtub']","['She', 'put', 'him', 'in', 'the', 'bathtub']",2
224,"['He', 'train', 'hard', 'for', 'many', 'months']","['He', 'hire', 'a', 'trainer', 'to', 'help', 'him']",2
225,"['He', 'see', 'beauty', 'in', 'well', 'organized', 'code']","['Programming', 'become', 'an', 'obsession', 'to', 'him']",2
226,"['Both', 'score', '100', 'points']","['The', 'rival', 'teams', 'play', 'each', 'other']",2
227,"['One', 'kind', 'girl', 'get', 'to', 'know', 'her']","['Her', 'classmates', 'assume', 'she', 'was', 'snobby']",2
228,"['He', 'fall', 'in', 'the', 'bubbles']","['They', 'walk', 'onto', 'the', 'carport']",2
229,"['Betty', 'manage', 'to', 'salvage', 'the', 'food']","['She', 'run', 'into', 'the', 'kitchen']",2
230,"['The', 'storm', 'clouds', 'begin', 'to', 'roll', 'in']","['They', 'fall', 'asleep', 'outside', 'under', 'the', 'tree']",2
231,"['He', 'tell', 'the', 'police']","['The', 'man', 'find', 'a', 'skull']",2
232,"['He', 'feel', 'great', 'about', 'his', 'wonderful', 'friends']","['Everyone', 'show', 'up', 'had', 'a', 'great', 'time']",2
233,"['They', 'buy', 'a', 'large', 'impressive', 'engagement', 'ring']","['He', 'realize', 'he', 'wanted', 'to', 'marry', 'her']",2
234,"['She', 'give', 'Peapod', 'negative', 'feedback']","['I', 'make', 'up', 'an', 'order']",2
235,"['She', 'decide', 'to', 'ride', 'the', 'bike']","['She', 'discover', 'her', 'old', 'unused', 'bicycle']",2
236,"['They', 'come', 'across', 'the', 'line', 'first']","['They', 'line', 'up', 'their', 'bikes']",2
237,"['This', 'feeling', 'make', 'him', 'feel', 'bad']","['The', 'cop', 'realize', 'he', 'was', 'powerless']",2
238,"['The', 'dog', 'sniff', 'her']","['I', 'bring', 'the', 'kitten', 'in']",2
239,"['She', 'get', 'a', 'huge', 'settlement']","['She', 'sue', 'the', 'driver']",2
240,"['He', 'give', 'them', 'his', 'address']","['They', 'call', 'the', 'fire', 'department']",2
241,"['She', 'put', 'newspaper', 'on', 'the', 'garage', 'floor']","['She', 'clean', 'up', 'the', 'newspaper']",2
242,"['The', 'apron', 'become', 'stained']","['She', 'wipe', 'her', 'hands', 'on', 'the', 'apron']",2
243,"['She', 'drive', 'home', 'afterwards']","['She', 'open', 'the', 'fruit', 'punch']",2
244,"['They', 'stay', 'for', 'three', 'hours']","['She', 'meet', 'her', 'friends']",2
245,"['The', 'helmet', 'feel', 'better', 'on', 'his', 'head']","['He', 'adjust', 'the', 'straps']",2
246,"['The', 'truck', 'roll', 'back', 'into', 'the', 'street']","['She', 'accidentally', 'hit', 'the', 'emergency', 'brake']",2
247,"['She', 'begin', 'to', 'cry', 'she', 'was', 'pregnant']","['She', 'look', 'at', 'the', 'results']",2
248,"['We', 'go', 'to', 'the', 'small', 'island']","['I', 'go', 'kayaking', 'yesterday']",2
249,"['The', 'burger', 'come', 'with', 'pickles']","['They', 'order', 'a', 'burger', 'and', 'fries']",2
